Date,Time,"P-core 8 T0 Effective Clock [MHz]","P-core 8 T0 Usage [%]","Total CPU Usage [%]","CPU Package [¡ÆC]","CPU Package Power [W]",
25.8.2026,8:50:57.217,27.7,0.0,5.1,64,8.776,
25.8.2026,8:50:57.425,87.6,19.3,5.8,60,9.725,
25.8.2026,8:50:57.632,74.6,0.5,4.2,60,9.564,
25.8.2026,8:50:57.838,42.1,0.0,2.4,61,7.739,
25.8.2026,8:50:58.045,55.5,0.0,1.6,60,9.929,
25.8.2026,8:50:58.252,81.0,27.9,5.5,64,10.024,
25.8.2026,8:50:58.458,29.5,6.3,5.9,75,11.254,
25.8.2026,8:50:58.666,70.8,0.0,2.7,62,10.728,
25.8.2026,8:50:58.873,21.0,12.1,2.8,59,9.948,
25.8.2026,8:50:59.082,45.5,0.0,4.4,58,13.552,
