model_id,target_energy_j,target_energy_std_j,target_energy_cv_percent,target_latency_ms,target_throughput_inferences_per_sec,measurement_valid_trials,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width
0052,0.0045204357131976,0.0002247615599772,4.972121588214298,0.3573212273246012,2798.6033789234184,3,4,102978,uniform,early,61.0,1.0,61.0,1.0,61.0,1.0,61.0,1.0,,0.0,,0.0,61.0,61.0,61.0,0.0,244.0,0.0,61.0,61.0,1.0,4.0,12938832.0,25877664.0,82960.0,2.0,2.0
0053,0.0135423922288624,0.0004178658670941,3.085613383753653,1.0543479385300414,948.4587212349036,3,6,261643,decreasing,late,124.0,1.0,100.0,0.0,72.0,1.0,60.0,0.0,45.0,0.0,44.0,0.0,44.0,124.0,74.16666666666667,29.20283471780703,445.0,80.0,124.0,44.0,0.3548387096774194,2.0,53770752.0,107541504.0,180544.0,8.0,8.0
0054,0.0595322102356336,0.0012529214279305,2.104610971054748,4.470659641173812,223.6825016473637,3,6,1040372,increasing,linear,66.0,1.0,102.0,0.0,133.0,0.0,161.0,0.0,192.0,0.0,221.0,0.0,66.0,221.0,145.83333333333334,52.3940730320605,875.0,155.0,66.0,221.0,3.3484848484848486,1.0,266911488.0,533822976.0,274688.0,16.0,16.0
0055,0.0118544009709553,7.223872129974656e-05,0.6093831436673987,0.9659048269821464,1035.3402802653056,3,2,53420,decreasing,early,80.0,0.0,70.0,1.0,,0.0,,0.0,,0.0,,0.0,70.0,80.0,75.0,5.0,150.0,10.0,80.0,70.0,0.875,1.0,53821440.0,107642880.0,153600.0,16.0,16.0
0056,0.0107200848779876,0.0007134430545829,6.655199680815241,0.8319318882093676,1202.0330400141445,3,6,447738,hourglass,late,110.0,1.0,104.0,1.0,94.0,1.0,94.0,1.0,94.0,1.0,110.0,0.0,94.0,110.0,101.0,7.280109889280518,606.0,16.0,110.0,110.0,1.0,5.0,36713556.0,73427112.0,147270.0,1.0,1.0
0057,0.0649727426052959,0.0014575654741684,2.2433491580046283,4.682260174284802,213.5733991100068,3,6,532793,decreasing,late,166.0,0.0,133.0,1.0,107.0,1.0,89.0,0.0,78.0,0.0,74.0,0.0,74.0,166.0,107.83333333333333,32.67729418962891,647.0,92.0,166.0,74.0,0.4457831325301205,2.0,253657152.0,507314304.0,348992.0,8.0,8.0
0058,0.003270308580887,4.8717559794291855e-05,1.4896930546253468,0.2794797246712965,3578.1126576791976,3,2,51413,increasing,early,22.0,1.0,243.0,1.0,,0.0,,0.0,,0.0,,0.0,22.0,243.0,132.5,110.5,265.0,221.0,22.0,243.0,11.045454545454545,2.0,12925440.0,25850880.0,84736.0,8.0,8.0
0059,0.0068076816739257,9.05543656838492e-05,1.3301792008090372,0.5213937563226633,1917.950161682925,3,5,569800,increasing,late,60.0,1.0,71.0,1.0,102.0,1.0,155.0,1.0,229.0,1.0,,0.0,60.0,229.0,123.4,62.24660633319699,617.0,169.0,60.0,229.0,3.816666666666667,5.0,19199772.0,38399544.0,89540.0,1.0,1.0
0060,0.0646934126755835,0.0003709244464426,0.573357365305127,5.107612117567965,195.7880536003973,3,4,520631,decreasing,early,184.0,0.0,160.0,1.0,129.0,1.0,55.0,0.0,,0.0,,0.0,55.0,184.0,132.0,48.54379466007988,528.0,129.0,184.0,55.0,0.29891304347826086,2.0,328047552.0,656095104.0,388800.0,8.0,8.0
0061,0.0105541661372241,0.0008352374898034,7.913817907959736,0.8249706745258544,1212.1766810142965,3,4,527525,increasing,late,94.0,1.0,112.0,1.0,148.0,1.0,209.0,1.0,,0.0,,0.0,94.0,209.0,140.75,43.939589210642374,563.0,115.0,94.0,209.0,2.223404255319149,4.0,40857408.0,81714816.0,137744.0,2.0,2.0
